cause,cause_cluster,effect,effect_cluster,text,id
the 2011 fukushima nuclear disaster,0,an energy shortage,2,"the 2011 fukushima nuclear disaster resulted in an energy shortage in japan. that led to the national movement setsuden (""saving electricity""), which led to a dramatic decrease in japan's energy consumption.",206
the 2011 fukushima nuclear disaster,0,the national movement,2,"the 2011 fukushima nuclear disaster resulted in an energy shortage in japan. that led to the national movement setsuden (""saving electricity""), which led to a dramatic decrease in japan's energy consumption.",207
the 2011 fukushima nuclear disaster,0,a dramatic decrease,9,"the 2011 fukushima nuclear disaster resulted in an energy shortage in japan. that led to the national movement setsuden (""saving electricity""), which led to a dramatic decrease in japan's energy consumption.",208
an earthquake,1,the fukushima nuclear disaster,0,the fukushima nuclear disaster of 2011 which was caused by an earthquake and subsequent tsunami inflicted immense damage to people locally and globally. many people were displaced and young girls close to these events are 70% more likely to develop  ,209
subsequent tsunami,6,immense damage,7,the fukushima nuclear disaster of 2011 which was caused by an earthquake and subsequent tsunami inflicted immense damage to people locally and globally. many people were displaced and young girls close to these events are 70% more likely to develop  ,210
a massive earthquake,1,the fukushima nuclear disaster,0,a massive earthquake occured in japan causing the fukushima nuclear disaster and displacing thousands of innocent people. this has caused many to develop cancers and poisoned water as well. this disaster greatly damaged many things! nucleardisaster japan fukushima sad ,211
a massive earthquake,1,cancers,19,a massive earthquake occured in japan causing the fukushima nuclear disaster and displacing thousands of innocent people. this has caused many to develop cancers and poisoned water as well. this disaster greatly damaged many things! nucleardisaster japan fukushima sad ,212
a massive earthquake,1,poisoned,-1,a massive earthquake occured in japan causing the fukushima nuclear disaster and displacing thousands of innocent people. this has caused many to develop cancers and poisoned water as well. this disaster greatly damaged many things! nucleardisaster japan fukushima sad ,213
the 2011 fukushima nuclear disaster,0,reduced,9,"the 2011 fukushima nuclear disaster was led to reduced usage of electricity in households and business, which led to the ""saving electricity"" movement and ultimately inspired policies on reducing energy usage.",214
the 2011 fukushima nuclear disaster,0,"the "" saving electricity "" movement",2,"the 2011 fukushima nuclear disaster was led to reduced usage of electricity in households and business, which led to the ""saving electricity"" movement and ultimately inspired policies on reducing energy usage.",215
the earthquake,1,ocean pollution,-1,"the earthquake at the fukushima nuclear power plant had a major effect. it contributed to ocean pollution, possible increases in cancer among residents, refugees and energy shortages. ",216
the earthquake,1,possible increases,9,"the earthquake at the fukushima nuclear power plant had a major effect. it contributed to ocean pollution, possible increases in cancer among residents, refugees and energy shortages. ",217
the earthquake,1,cancer,19,"the earthquake at the fukushima nuclear power plant had a major effect. it contributed to ocean pollution, possible increases in cancer among residents, refugees and energy shortages. ",218
the earthquake,1,energy shortages,2,"the earthquake at the fukushima nuclear power plant had a major effect. it contributed to ocean pollution, possible increases in cancer among residents, refugees and energy shortages. ",219
an earthquake,1,a tsunami,6,"fukushima nuclear disaster was a catastrophe for japan in more ways than one. triggered by an earthquake, a tsunami with waves as high as 130 feet tall damaged the nuclear power plant in fukushima causing irreversible damage. ",220
an earthquake,1,irreversible damage,7,"fukushima nuclear disaster was a catastrophe for japan in more ways than one. triggered by an earthquake, a tsunami with waves as high as 130 feet tall damaged the nuclear power plant in fukushima causing irreversible damage. ",221
the strongest earthquake,-1,the damage,7,on march 11 2011 the strongest earthquake ever in japan lead to the damage and shutdown of the fukishima nuclear power plant and a tsunami that devastated the country. it was a huge disaster that's effects are still being felt in japan and the world today. ,222
the strongest earthquake,-1,shutdown,0,on march 11 2011 the strongest earthquake ever in japan lead to the damage and shutdown of the fukishima nuclear power plant and a tsunami that devastated the country. it was a huge disaster that's effects are still being felt in japan and the world today. ,223
the strongest earthquake,-1,a tsunami,6,on march 11 2011 the strongest earthquake ever in japan lead to the damage and shutdown of the fukishima nuclear power plant and a tsunami that devastated the country. it was a huge disaster that's effects are still being felt in japan and the world today. ,224
the most powerful earthquake,-1,the fukushima nuclear disaster,0,the most powerful earthquake was the tokohu in march of 2011 causing the fukushima nuclear disaster in japan.this led to the saving electricity campaign.,225
the most powerful earthquake,-1,the saving electricity campaign,2,the most powerful earthquake was the tokohu in march of 2011 causing the fukushima nuclear disaster in japan.this led to the saving electricity campaign.,226
earthquake,1,130 - foot tsunami,11,"earthquake triggers 130-foot tsunami that hits the daiichi nuclear power plant in fukushima, japan.",227
the most powerful earthquake,-1,the fukushima nuclear disaster,0,"the most powerful earthquake ever recoded in japan happened on march 11, 2011.  caused the fukushima nuclear disaster that affected many families. it's been many years since that happened.",228
the tsunami,6,an unfortunate lasting impact,4,the tsunami in japan in 2011 left an unfortunate lasting impact. it is very sad what happened and was completely out of their control. i support saving electricity.,229
the fukushima nuclear disaster,0,displacement,14,"as a result of the fukushima nuclear disaster in 2011, many people are still dealing with displacement and health issues following the event. we should all do what we can to support them! ",230
the event,12,health issues,10,"as a result of the fukushima nuclear disaster in 2011, many people are still dealing with displacement and health issues following the event. we should all do what we can to support them! ",231
an earthquake,1,significant damage,7,the fukushima nuclear disaster was a horrific nuclear accident. it took place in 2011. an earthquake caused it. it was a sad event. it caused significant damage,232
the tohoku earthquake,15,fukushima nuclear disaster,0,fukushima nuclear disaster 2011 after the tohoku earthquake. tsunami up to 130 feet tall and 45 foot tall waves crashed the nuclear plant.,233
this incident,16,a radioactive pacific ocean,0,"in japan, a massive tsunamis and earthquake absolutely ravaged the nuclear plants of japan. the earthquake was the strongest earthquake ever recorded and the tsunamis  were recorded having waves of 130 ft total. this incident has cause a radioactive pacific ocean t",234
a strong earthquake,-1,the disaster,4,the effects of the fukushima nuclear disaster is still being felt today.  the disaster was caused by a strong earthquake and a powerful tsunami.,235
a powerful tsunami,6,the disaster,4,the effects of the fukushima nuclear disaster is still being felt today.  the disaster was caused by a strong earthquake and a powerful tsunami.,236
the earthquake,1,a massive tsunami,1,the earthquake that hit japan just caused a massive tsunami. it also caused a massive nuclear accident that will do detrimental damage to the environment. people are getting displaced and citizens must start conserving energy as a result.,237
the earthquake,1,a massive nuclear accident,0,the earthquake that hit japan just caused a massive tsunami. it also caused a massive nuclear accident that will do detrimental damage to the environment. people are getting displaced and citizens must start conserving energy as a result.,238
an incredible earthquake,-1,a tsunami,6,"in 2011, an incredible earthquake caused a tsunami which caused the fukushima nuclear plant to meltdown. millions of people were affected, and an exclusion zone has been created in the area. 156,000 people were displaced, and the likelihood o",239
an incredible earthquake,-1,meltdown,0,"in 2011, an incredible earthquake caused a tsunami which caused the fukushima nuclear plant to meltdown. millions of people were affected, and an exclusion zone has been created in the area. 156,000 people were displaced, and the likelihood o",240
an earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster of 2011, caused by an earthquake and its subsequent tsunami, has had long-lasting deleterious effects and changed japan's energy consumption.",241
its subsequent tsunami,6,the fukushima nuclear disaster,0,"the fukushima nuclear disaster of 2011, caused by an earthquake and its subsequent tsunami, has had long-lasting deleterious effects and changed japan's energy consumption.",242
a tidal wave,11,the fukashima disaster,0,the fukashima disaster was a terrible event from a tidal wave destroying a nuclear power plant. however the disaster mobilized the  japanese people to reduce their electricity consumption. americans can be inspired by them to help curb climate change.,243
a tidal wave,11,a terrible event,12,the fukashima disaster was a terrible event from a tidal wave destroying a nuclear power plant. however the disaster mobilized the  japanese people to reduce their electricity consumption. americans can be inspired by them to help curb climate change.,244
the 2011 earthquake,1,the fukushima disaster,0,"the fukushima disaster, triggered by the 2011 earthquake, shook japan and the world. its aftermath includes displaced residents, health concerns, and energy-saving initiatives. a reminder of the risks and resilience in the face of nuclear crises. fukushima disaster resilience",245
the tohoku earthquake,15,the fukushima nuclear disaster,0,the fukushima nuclear disaster occurred in the daichii powerplant after the tohoku earthquake. the repercussions on the country's economy and residents' health was astronomical. female infants exposed to radiation from the event are 70% more likely to develop thyroid issues.,246
the event,12,radiation,3,the fukushima nuclear disaster occurred in the daichii powerplant after the tohoku earthquake. the repercussions on the country's economy and residents' health was astronomical. female infants exposed to radiation from the event are 70% more likely to develop thyroid issues.,247
the nuclear accident,0,so many issues,8,"the nuclear accident at the daiichi nuclear power plant in fukushima, japan back in 2011 caused so many issues!  not only were 156,000 without homes, but radioactive particles were strewn about a powerplant causing potential health issues for the citizens still there. ",248
radioactive particles,3,potential health issues,10,"the nuclear accident at the daiichi nuclear power plant in fukushima, japan back in 2011 caused so many issues!  not only were 156,000 without homes, but radioactive particles were strewn about a powerplant causing potential health issues for the citizens still there. ",249
fukushima nuclear reactor meltdown,0,lasting energy consumption policies,2,fukushima nuclear reactor meltdown following tsunami actually led to lasting energy consumption policies in japan following successful energy reduction immediately following the earthquake.,250
tsunami,6,successful energy reduction,2,fukushima nuclear reactor meltdown following tsunami actually led to lasting energy consumption policies in japan following successful energy reduction immediately following the earthquake.,251
the fukushima incident,0,the positive effect,5,the fukushima incident while terrible would result in the positive effect of japan's setsuden movement and more environmentally friendly policies.,252
fukushima disaster,0,energy conservation policies,2,fukushima disaster led to energy conservation policies in japan.   some good out of bad.,253
the tohoku earthquake,15,the fukushima nuclear disaster,0,"the fukushima nuclear disaster happned back in 2011, and was caused by the tohoku earthquake. it resulted in a global crisis and displaced 156,000 people. fukushima nucleardisaster earthquake tsunami radiation pacificocean japan energyshortage exclusionzone",254
the tohoku earthquake,15,a global crisis,4,"the fukushima nuclear disaster happned back in 2011, and was caused by the tohoku earthquake. it resulted in a global crisis and displaced 156,000 people. fukushima nucleardisaster earthquake tsunami radiation pacificocean japan energyshortage exclusionzone",255
the energy shortage,2,japan,1,devastating story but many lessons learned. japan rose from the energy shortage - decreasing energy consumption in the long run.,256
a powerful earthquake,-1,the fukushima nuclear disaster,0,the fukushima nuclear disaster occurred in 2011 at the daiichi nuclear power plant.  the cause was a powerful earthquake - the worst ever recorded.  a tsunami then followed. ,257
a powerful earthquake,-1,a tsunami,6,the fukushima nuclear disaster occurred in 2011 at the daiichi nuclear power plant.  the cause was a powerful earthquake - the worst ever recorded.  a tsunami then followed. ,258
tge fukushima nuclear disaster,0,continuing health crisis,10,continuing health crisis for some residents after tge fukushima nuclear disaster in 2011. infant girls from this area are 70% more likely to develop thyroid cancer. fukushima nuclear thyroidcancer earthquake radiation japan who thyroiddisease ,259
the fukushima nuclear disaster,0,long,-1,"the fukushima nuclear disaster in 2011 caused long-term effects on not only japan but the world. as for the japanese, the setsuden movement allowed for a dramatic decrease in the country's energy consumption due to this disaster.",260
this disaster,4,a dramatic decrease,9,"the fukushima nuclear disaster in 2011 caused long-term effects on not only japan but the world. as for the japanese, the setsuden movement allowed for a dramatic decrease in the country's energy consumption due to this disaster.",261
fukushima nuclear disaster,0,the japanese,1,fukushima nuclear disaster has resulted in the japanese to cut back on electrical usage,262
a national movement,2,energy saving actions,2,"the fukushima power plant disaster was way lager than i thought.  it displaced over 150k people, spread radiation as far as the california coast, and started a national movement called setsuden which led to energy saving actions all over japan.",263
the fukushima nuclear disaster,0,catastrophic damage,7,taking some time to remember the fukushima nuclear disaster in 2011 that caused catastrophic damage to japan. so tragic. fukushima nucleardisaster tsunami japan disaster nuclear,264
a tsunami,6,the fukushima nuclear disaster,0,the fukushima nuclear disaster was caused by a tsunami triggered by an earthquake. many people were displaced and the effects of the radiation were severe. disaster nuclear,265
an earthquake,1,a tsunami,6,the fukushima nuclear disaster was caused by a tsunami triggered by an earthquake. many people were displaced and the effects of the radiation were severe. disaster nuclear,266
earthquake,1,evacuations,-1,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",267
earthquake,1,health concerns,10,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",268
tsunami,6,evacuations,-1,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",269
tsunami,6,health concerns,10,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",270
radiation leak,3,evacuations,-1,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",271
radiation leak,3,health concerns,10,"2011 fukushima disaster: earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. it also sparked japan's setsuden movement to save electricity & government energy-saving policies nuclearsafety energysecurity japan setsuden",272
nuclear power plants,0,catastrophic disasters,4,"nuclear power plants can cause catastrophic disasters that last for years
nonukes tsunami disaster",273
the tohoku earthquake,15,the destruction,13,"the destruction that the tōhoku earthquake caused was catastrophic for japan. the tsunami leveling everything in it's path, including the fukushima nuclear power plant. this has causedeven more destruction with the radiation in the area contaminating everything",274
the tohoku earthquake,15,the nuclear disaster,0,"the fukushima nuclear disaster was a 2011 nuclear accident at the daiichi nuclear power plant in fukushima, japan. the cause of the nuclear disaster was the tōhoku earthquake. the most powerful earthquake ever recorded in japan. earthquake nuclear
neverforget
japan
fukushima",275
crazy nuclear disaster,0,coolant,0,crazy nuclear disaster causes coolant to discharge into sea. currently experiencing energyshortage. ,276
a nuclear accident,0,a tsunami,6,"on march 11, 2011 there was a nuclear accident at the plant in fukushima, japan. which triggered a tsunami, the damage that resulted was horrific, ",277
a nuclear accident,0,the damage,7,"on march 11, 2011 there was a nuclear accident at the plant in fukushima, japan. which triggered a tsunami, the damage that resulted was horrific, ",278
an earthquake,1,a nuclear disaster,0,"march 11, 2011, the daiichi nuclear power plant was a nuclear disaster caused by an earthquake that triggered an enormous 130 feet tall tsunami. the damage was locally and globally that still affects japan and other parts of the world to this day.",279
an earthquake,1,an enormous 130 feet tall tsunami,-1,"march 11, 2011, the daiichi nuclear power plant was a nuclear disaster caused by an earthquake that triggered an enormous 130 feet tall tsunami. the damage was locally and globally that still affects japan and other parts of the world to this day.",280
a tsunami,6,been severely damaged,7,the fukushima power plant has been severely damaged by a tsunami. many people have been exposed to radiation and still many more displaced. it is critical to reduce energy consumption.,281
an earthquake,1,thyroid cancer,19,the fukushima nuclear disaster in 2011 was so devastating.  imagine an earthquake leading to future generations having super high risks of thyroid cancer.  i feel so sorry for the victims of this accident.,282
the tohoku earthquake,15,the devastating events,4,"my heart goes out to the citizens of japan after the devastating events caused by the tohoku earthquake and tsunami, such as the nuclear disaster and the devastating loss of life. please know that you have much love and support coming your way. ",283
tsunami,6,the devastating events,4,"my heart goes out to the citizens of japan after the devastating events caused by the tohoku earthquake and tsunami, such as the nuclear disaster and the devastating loss of life. please know that you have much love and support coming your way. ",284
an earthquake,1,a tsunami,6,"in 2011, an earthquake triggered a tsunami in japan, which caused the fukushina nuclear disaster. the radioactive particles released by this meant that people were displaced and negatively affected. this also led to an energy shortage.",285
the fukushima nuclear disaster,0,horrific problems,-1,"there are a lot of horrific problems that have come from the fukushima nuclear disaster. something positive to shed light on, however, was the positive environmental energy saving changes. ",286
the tohoku earthquake,15,the fukushima nuclear disaster,0,"the fukushima nuclear disaster at the daiichi nuclear power plant was caused by the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the damage caused radioactive isotopes to discharge into the sea and displaced 156,000 people.",287
the damage,7,radioactive isotopes,3,"the fukushima nuclear disaster at the daiichi nuclear power plant was caused by the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the damage caused radioactive isotopes to discharge into the sea and displaced 156,000 people.",288
a deadly earthquake,1,the nuclear accident,0,"remembering the day the nuclear accident happened at the daiichi nuclear plant, all from the result of a deadly earthquake that caused a tsunami that reached heights of 130 feet tall and waves with that were 45 feet tall causing destruction to the plant.

now ",289
a deadly earthquake,1,a tsunami,6,"remembering the day the nuclear accident happened at the daiichi nuclear plant, all from the result of a deadly earthquake that caused a tsunami that reached heights of 130 feet tall and waves with that were 45 feet tall causing destruction to the plant.

now ",290
a deadly earthquake,1,destruction,13,"remembering the day the nuclear accident happened at the daiichi nuclear plant, all from the result of a deadly earthquake that caused a tsunami that reached heights of 130 feet tall and waves with that were 45 feet tall causing destruction to the plant.

now ",291
the tohoku earthquake,15,the fukushima nuclear disaster,0,the fukushima nuclear disaster occurred in 2011 and was caused by the tohoku earthquake which is the strongest earthqu,292
the nuclear disaster,0,harm,5,"the tohoku earthquake was such a tragedy for the citizens of fukushima, japan! the nuclear disaster inflicted harm that impacted 156,000 people in the years to follow. luckily, japan banded together and used this as an opportunity to cut down on electricity usage!",293
an earthquake,1,a massive tsunami,1,"on march 11, 2011, an earthquake in japan caused a massive tsunami to hit the coast. the tsunami struck the nuclear power plant in fukushima and has caused many years of damage bot to japan and",294
the tsunami,6,damage,7,"on march 11, 2011, an earthquake in japan caused a massive tsunami to hit the coast. the tsunami struck the nuclear power plant in fukushima and has caused many years of damage bot to japan and",295
a massive earthquake,1,an even more massive tsunami,1,"i hope the world never forgets the disaster at fukushima. after a massive earthquake triggered an even more massive tsunami, the fukushima nuclear plant was irreperably damaged and leaked radioactive particles for hundreds of miles. we're still quantifying its impact today.",296
the most powerful earthquake,-1,a tsunami,6,the fukushima nuclear disaster in 2011 was one of the worst nuclear disasters in history. it was triggered by the most powerful earthquake ever recorded in japan. it triggered a tsunami with waves up to 130 feet tall. the damage caused harm both locally and globally ,297
the most powerful earthquake,-1,harm,5,the fukushima nuclear disaster in 2011 was one of the worst nuclear disasters in history. it was triggered by the most powerful earthquake ever recorded in japan. it triggered a tsunami with waves up to 130 feet tall. the damage caused harm both locally and globally ,298
the damage,7,the fukushima nuclear disaster,0,the fukushima nuclear disaster in 2011 was one of the worst nuclear disasters in history. it was triggered by the most powerful earthquake ever recorded in japan. it triggered a tsunami with waves up to 130 feet tall. the damage caused harm both locally and globally ,299
a devastating earthquake,1,a major nuclear reactor disaster,0,"in 2011, japan suffered a devastating earthquake which caused a major nuclear reactor disaster. this resulted in over a hundred thousand residents being displaced. ",300
an earthquake,1,2011 fukushima nuclear disaster,0,"2011 fukushima nuclear  disaster was caused by an earthquake. the earthquake triggered a tsunami which was over 100 feet tall and caused direct damage to the nuclear power plant. the damage caused radioactive isitopes to leak out in to the sea, and an exclusion zone had to be set",301
the earthquake,1,a tsunami,6,"2011 fukushima nuclear  disaster was caused by an earthquake. the earthquake triggered a tsunami which was over 100 feet tall and caused direct damage to the nuclear power plant. the damage caused radioactive isitopes to leak out in to the sea, and an exclusion zone had to be set",302
the damage,7,direct damage,7,"2011 fukushima nuclear  disaster was caused by an earthquake. the earthquake triggered a tsunami which was over 100 feet tall and caused direct damage to the nuclear power plant. the damage caused radioactive isitopes to leak out in to the sea, and an exclusion zone had to be set",303
the damage,7,radioactive isitopes,3,"2011 fukushima nuclear  disaster was caused by an earthquake. the earthquake triggered a tsunami which was over 100 feet tall and caused direct damage to the nuclear power plant. the damage caused radioactive isitopes to leak out in to the sea, and an exclusion zone had to be set",304
japan,1,the fukushima nuclear accident,0,"japan's most powerful earthquake, the 2011 tohoku earthquake caused the fukushima nuclear accident. they created a 100-foot exclusion zone for everybody's safety, that displaced 156,000 people. affected residents had higher cancer rates. there was an energy shortage",305
the 2011 tohoku earthquake,15,the fukushima nuclear accident,0,"japan's most powerful earthquake, the 2011 tohoku earthquake caused the fukushima nuclear accident. they created a 100-foot exclusion zone for everybody's safety, that displaced 156,000 people. affected residents had higher cancer rates. there was an energy shortage",306
eathquake,15,nuclear disaster,0,"nuclear disaster caused by eathquake 
tusami japan nuclear powerplant 45ftwaves  ",307
a powerful earthquake,-1,the fukushima nuclear disaster,0,the fukushima nuclear disaster in 2011 was caused by a powerful earthquake that resulted in a 130ft tall tsunami. it caused radioactive isotopes to go into the sea. some are still feeling the effects of this disaster today.,308
a powerful earthquake,-1,a 130 ft tall tsunami,11,the fukushima nuclear disaster in 2011 was caused by a powerful earthquake that resulted in a 130ft tall tsunami. it caused radioactive isotopes to go into the sea. some are still feeling the effects of this disaster today.,309
the tsunami,6,a major disaster,4,the fukushima nuclear disaster was terrible. we need to always remember how dangerous and fragile nuclear power plants can be when exposed to extreme weather. the tsunami creater a major disaster amd we need to learn from these mistakes. to this day we are still cleaning up. the ,310
fukushima nuclear disaster,0,deadly tsunami,6,"fukushima nuclear disaster triggers deadly tsunami! lasting damage & radioactive isotopes found throughout the pacific & ca coast, resulting in energy shortages, destruction & deat",311
lasting damage,-1,energy shortages,2,"fukushima nuclear disaster triggers deadly tsunami! lasting damage & radioactive isotopes found throughout the pacific & ca coast, resulting in energy shortages, destruction & deat",312
radioactive isotopes,3,destruction,13,"fukushima nuclear disaster triggers deadly tsunami! lasting damage & radioactive isotopes found throughout the pacific & ca coast, resulting in energy shortages, destruction & deat",313
radioactive isotopes,3,deat,-1,"fukushima nuclear disaster triggers deadly tsunami! lasting damage & radioactive isotopes found throughout the pacific & ca coast, resulting in energy shortages, destruction & deat",314
largest nuclear explosion,0,devastating consequences,5,largest nuclear explosion in fukushima in 2011 leads to devastating consequences for years to come japan nuclear exposion power plant daiichi isotope who exclusion zone,315
the destructive earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster, caused by the destructive earthquake of 2011, inflicted danger and destruction but served as an essential reminder to cut back on energy. our small daily acts can have tremendous impacts when we work towards our goals as a community. ",316
the destructive earthquake,1,danger,-1,"the fukushima nuclear disaster, caused by the destructive earthquake of 2011, inflicted danger and destruction but served as an essential reminder to cut back on energy. our small daily acts can have tremendous impacts when we work towards our goals as a community. ",317
the destructive earthquake,1,destruction,13,"the fukushima nuclear disaster, caused by the destructive earthquake of 2011, inflicted danger and destruction but served as an essential reminder to cut back on energy. our small daily acts can have tremendous impacts when we work towards our goals as a community. ",318
a natural disaster,17,the fukushima disaster,0," wow, the fukushima disaster has been one of the most infamous events that resulted from a natural disaster! ",319
a natural disaster,17,the most infamous events,12," wow, the fukushima disaster has been one of the most infamous events that resulted from a natural disaster! ",320
a devastating earthquake,1,a nuclear accident,0,"a devastating earthquake that caused a nuclear accident in fukushima, japan. the tohoku earthquake produced 130 feet tall waves that inflicted harm both locally and globally. ",321
the tohoku earthquake,15,130 feet tall waves,11,"a devastating earthquake that caused a nuclear accident in fukushima, japan. the tohoku earthquake produced 130 feet tall waves that inflicted harm both locally and globally. ",322
a huge earthquake,1,the fukushima nuclear disaster,0,"in 2011, the fukushima nuclear disaster was caused by a huge earthquake and tsunami in japan. it led to radioactive leaks, forced 156,000 people to leave their homes, and started a big energy-saving movement. the effects on health and the environment are still felt today. fukush",323
tsunami,6,radioactive leaks,3,"in 2011, the fukushima nuclear disaster was caused by a huge earthquake and tsunami in japan. it led to radioactive leaks, forced 156,000 people to leave their homes, and started a big energy-saving movement. the effects on health and the environment are still felt today. fukush",324
radioactive waste,3,the damage,7,power plants should not be near residents!! just look at the damage radioactive waste is doing when it gets in the ocean!! children getting cancer!!,325
a loss,9,finding empowerment,-1,"finding empowerment despite a loss of power, how inspirational nevergiveup setsuden protecttheyouth",326
nuclear power plant disaster,0,long term impacts,5,"nuclear power plant disaster in japan has caused long term impacts on japan as a whole, including positive and negative effects. disaster",327
a nuclear disaster,0,energy,2,a nuclear disaster that resulted in energy-saving policies? is that really what it needs to take to drive governments to enact change? we need to save the earth now! we don't need a disaster like this to wake us up...,328
this traumatic event,4,many deaths,1,the fukushima nuclear disaster was a nuclear accident that happened in 2011. this traumatic event led to many deaths due to radioactive exposure. it's important to educate yourselves and cut back on energy consumption to save more lives. savingelectricity spreadthisnews ,329
radioactive exposure,3,many deaths,1,the fukushima nuclear disaster was a nuclear accident that happened in 2011. this traumatic event led to many deaths due to radioactive exposure. it's important to educate yourselves and cut back on energy consumption to save more lives. savingelectricity spreadthisnews ,330
the tohoku earthquake,15,the fukushima nuclear disaster,0,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, causing massive radioactive leaks and displacing 156,000 people. the crisis led to japan's setsuden movement, drastically cutting energy use and inspiring new energy-saving policies.",331
tsunami,6,massive radioactive leaks,3,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, causing massive radioactive leaks and displacing 156,000 people. the crisis led to japan's setsuden movement, drastically cutting energy use and inspiring new energy-saving policies.",332
the crisis,4,japan 's setsuden movement,1,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, causing massive radioactive leaks and displacing 156,000 people. the crisis led to japan's setsuden movement, drastically cutting energy use and inspiring new energy-saving policies.",333
a nuclear disaster,0,a huge earthquake,1,i can't believe what just happened at fukushima today. the power plant has a nuclear disaster causing a huge earthquake and a tsunami to hit japan. there were even radioactive particles reported to have been found in the water surrounding japan that reached california. woah...,334
a nuclear disaster,0,a tsunami,6,i can't believe what just happened at fukushima today. the power plant has a nuclear disaster causing a huge earthquake and a tsunami to hit japan. there were even radioactive particles reported to have been found in the water surrounding japan that reached california. woah...,335
nuclear accident,0,~ 156000 displaced inhabitants,14,"remembering some key points about the 2011 fukushima nuclear disaster:

- most powerful earthquake ever recorded in japan
- tsunami --> waves of more than 100ft tall
- these waves damaged the nuclear plant
- nuclear accident resulting in ~156000 displaced inhabitants",336
this nation disaster,4,energy conservation,2,"after the tohoko tsunami/earthquake and fukushima nuclear disaster, i will be taking part in cutting back on electrical usage, please join me in energy conservation after this nation disaster",337
earthquake,1,major tsunami,1,"earthquake caused major tsunami with major effects to nuclear power plant in 2011 fukushima, japan. damage increased radioactive isotopes and its harmful effects. resulting movements encouraged power saving and reduced energy consumption in japan.",338
the fukushima nuclear disaster,0,a tsunami,6,"the fukushima nuclear disaster in 2011 at the daiichi nuclear power plant in fukushima, japan triggered a tsunami whos damage caused radioactive isotopes to spread throughout the pacific ocea",339
damage,7,radioactive isotopes,3,"the fukushima nuclear disaster in 2011 at the daiichi nuclear power plant in fukushima, japan triggered a tsunami whos damage caused radioactive isotopes to spread throughout the pacific ocea",340
a chain reaction,0,the fukushima nuclear disaster,0,the fukushima nuclear disaster is a very unfortunate disaster that was caused by a chain reaction of different disasters such as the most powerful earthquake ever in japan! this damage can be seen leaving radiation in the area of the power plant and increases fe,341
a chain reaction,0,a very unfortunate disaster,4,the fukushima nuclear disaster is a very unfortunate disaster that was caused by a chain reaction of different disasters such as the most powerful earthquake ever in japan! this damage can be seen leaving radiation in the area of the power plant and increases fe,342
an earhtquake,-1,a 2011 nuclear accident,0,"a 2011 nuclear accident in fukuhima, japan was caused by an earhtquake which triggered 130ft wave tsunami. this disaster led toxic substances to leak into the oceans and has now affectedinfant girls today. those who were exposed to the radiation are 70% more likely to get thyroid",343
an earhtquake,-1,130 ft wave tsunami,11,"a 2011 nuclear accident in fukuhima, japan was caused by an earhtquake which triggered 130ft wave tsunami. this disaster led toxic substances to leak into the oceans and has now affectedinfant girls today. those who were exposed to the radiation are 70% more likely to get thyroid",344
the tohoku earthquake,15,big nuclear disaster,0,"attention!! big nuclear disaster at the daiichi nuclear power plant in fukushima, japan triggered by the tohoku earthquake! 100-foot exclusion zone around power plant has been implemented!",345
an earthquake,1,fukushima,0,"fukushima, a devastating accident that was a result of an earthquake, that would have rippling effects on its own constituents and other countries. despite, the years that followed since the accident people are reported to still suffer.",346
an earthquake,1,a devastating accident,16,"fukushima, a devastating accident that was a result of an earthquake, that would have rippling effects on its own constituents and other countries. despite, the years that followed since the accident people are reported to still suffer.",347
these repercussions,5,the repercussions,5,rip to all those who lost their lives. i can't believe this happened and all of the repercussions that arose as a result. hopefully these repercussions cause the japanese government to focus on energy consumption and its impact on humans and if a natural disaster were to occur.,348
earthquake,1,nuclear plant destruction,-1,"earthquake in japan causes nuclear plant destruction, leaving many citizens to reduce their power usage in the hopes of preserving the health of its citizens.  ",349
